a	b
2.9476884365	3.1155279955
3.1155279955	3.2863297695
3.2863297695	3.4648123735
3.4648123735	3.6539227829999996
3.6539227829999996	3.854292225
3.854292225	4.0834282415
4.0834282415	4.324020447500001
4.324020447500001	4.560026669
4.560026669	4.920913714499999
4.920913714499999	5.230568378
5.230568378	5.470187039000001
5.470187039000001	5.792485924
5.792485924	6.136930585
6.136930585	6.501749447
6.501749447	6.856530682
6.856530682	7.262382172
7.262382172	7.6942160605
7.6942160605	8.1160340495
8.1160340495	8.556820881499998
8.556820881499998	9.023854511
9.023854511	9.5627750535
9.5627750535	10.1286573125
10.1286573125	10.67875096
10.67875096	11.261600115
11.261600115	11.862661735
