wavelengths	depths	depth_errors
3.031608216	3.8608639199665054e-05	6.835512534659015e-06
3.199447775	4.9318069449435173e-05	6.612369116796744e-06
3.373211764	4.8117858881473335e-05	6.303532513146975e-06
3.556412983	5.7039568212269466e-05	6.3379434985475085e-06
3.7514325829999997	5.324940525362051e-05	9.31144035098478e-06
3.957151867	6.103351788642956e-05	6.875461962871685e-06
4.209704616000001	4.545299457305208e-05	7.429034344973518e-06
4.4383362790000005	3.730019059164678e-05	8.458770866576075e-06
4.6817170589999995	5.624906225377342e-05	8.08796372684638e-06
5.16011037	6.380096113503543e-05	7.256174715502996e-06
5.301026386	6.760606725160769e-05	8.759724235389686e-06
5.639347692	8.377493066113938e-05	9.564821955632665e-06
5.945624156	0.0001168423978397554	8.745384071051298e-06
6.328237014	0.00011681210703945889	9.299176872316843e-06
6.67526188	0.00012936922936204908	8.97013354798005e-06
7.037799484	0.00014881308162313745	9.005728411363552e-06
7.48696486	0.00015807245187973628	9.469382491589646e-06
7.901467261	0.00016025255327829733	1.0325663218535797e-05
8.330600837999999	0.00017055189407779125	1.026919654202599e-05
8.783040925	0.00019071447061410054	1.0976762190948618e-05
9.264668097	0.00014843851196928422	1.1698712545599273e-05
9.86088201	0.0001303240040561006	1.2734282016198243e-05
10.396432615	0.00014899717698889118	1.5099463650018299e-05
10.961069305	0.00016820884573607475	2.1115163941461833e-05
11.562130925	0.0001345969747041369	2.8765190624129874e-05
